州名,喫煙数,肺がん
AK,30.34,25.88
AL,18.2,17.05
AR,18.24,15.98
AZ,25.82,19.8
CA,28.6,22.07
CT,31.1,22.83
DC,40.46,27.27
DE,33.6,24.55
FL,28.27,23.57
ID,20.1,13.58
IL,27.91,22.8
IN,26.18,20.3
IO,22.12,16.59
KS,21.84,16.84
KY,23.44,17.71
LA,21.58,25.45
MA,26.92,22.04
MD,25.91,26.48
ME,28.92,20.94
MI,24.96,22.72
MN,22.06,14.2
MO,27.56,20.98
MS,16.08,15.6
MT,23.75,19.5
NB,23.32,16.7
ND,19.96,12.12
NE,42.4,23.03
NJ,28.64,25.95
NM,21.16,14.59
NY,29.14,25.02
OH,26.38,21.89
OK,23.44,19.45
PE,23.78,12.11
RI,29.18,23.68
SC,18.06,17.45
SD,20.94,14.11
TE,20.08,17.6
TX,22.57,20.74
UT,14,12.01
VT,25.89,21.22
WA,21.17,20.34
WI,21.25,20.55
WV,22.86,15.53
WY,28.04,15.92
